date,num_of_fog_days,num_of_days_match_synop_pattern,chance,rain24hr,fogflag
2000-03-28,2,22,0.09090909090909091,0.0,False
2000-04-17,1,79,0.012658227848101266,0.0,False
2000-04-29,1,75,0.013333333333333334,4.8,False
2000-05-05,5,21,0.23809523809523808,0.4,False
2000-05-25,1,14,0.07142857142857142,0.2,False
2000-05-26,1,14,0.07142857142857142,2.2,True
2000-06-04,3,12,0.25,0.0,False
2000-06-20,4,20,0.2,0.2,True
2000-07-05,1,18,0.05555555555555555,0.0,False
2000-07-23,1,31,0.03225806451612903,0.0,False
2000-07-31,1,22,0.045454545454545456,0.2,False
2000-08-06,1,37,0.02702702702702703,4.6,False
2000-08-08,8,21,0.38095238095238093,0.8,True
2000-08-09,1,1,1.0,0.4,True
2000-08-10,1,12,0.08333333333333333,0.0,True
2000-08-13,1,14,0.07142857142857142,1.0,False
2000-08-14,2,15,0.13333333333333333,0.0,False
2000-09-08,3,39,0.07692307692307693,0.0,False
2000-09-18,4,53,0.07547169811320754,0.0,False
2000-09-22,2,40,0.05,0.0,False
2000-09-23,6,68,0.08823529411764706,0.0,False
2000-09-25,2,54,0.037037037037037035,0.0,False
2000-09-26,3,66,0.045454545454545456,0.0,False
2000-09-27,1,49,0.02040816326530612,0.0,False
2000-09-28,3,47,0.06382978723404255,0.0,False
2000-09-30,2,28,0.07142857142857142,0.0,False
2000-10-21,2,61,0.03278688524590164,0.2,False
2000-10-24,3,48,0.0625,2.8,False
2000-10-26,1,52,0.019230769230769232,0.2,False
2000-10-27,2,17,0.11764705882352941,0.0,True
2000-11-18,1,15,0.06666666666666667,2.4,False
2001-03-19,2,30,0.06666666666666667,0.0,False
2001-03-20,1,24,0.041666666666666664,0.0,False
2001-04-16,1,147,0.006802721088435374,0.2,False
2001-04-22,3,17,0.17647058823529413,0.4,False
2001-04-27,2,19,0.10526315789473684,0.0,False
2001-04-28,2,106,0.018867924528301886,0.4,False
2001-04-29,1,118,0.00847457627118644,0.2,False
2001-05-05,3,21,0.14285714285714285,3.2,False
2001-05-10,1,7,0.14285714285714285,0.0,False
2001-05-15,4,32,0.125,0.0,False
