avID,man,aut,year,mon,day,rain24hr,fogflag,min_vis,fg_onset,fg_finish,fg_duration,wind5,T5,Td5,RH5,QNH5,pptn5,wind8,T8,Td8,RH8,QNH8,pptn8,wind11,T11,Td11,RH11,QNH11,pptn11,wind14,T14,Td14,RH14,QNH14,pptn14,wind17,T17,Td17,RH17,QNH17,pptn17,wind20,T20,Td20,RH20,QNH20,pptn20
YSHL  , 0, 1, 2005, 09, 11,    8.6, YES,   5.00, 17.45, 18.15, 00.30, 260/20, 20.4,  3.6, 33, 998.9,   0.0,230/10, 14.1,  4.2, 51,1001.5,   0.0,280/07, 12.7,  3.6, 54,1003.5,   0.0,310/08, 12.0,  4.3, 59,1001.6,   0.0,330/02, 11.3,  3.4, 58,1001.0,   0.0,280/10, 10.1,  2.0, 57,1002.7,   0.0
YSHL  , 0, 8, 2005, 10, 03,    0.0, YES,   1.50, 14.45, 16.15, 01.30, 260/16, 32.0,  3.1, 16,1008.9,   0.0,270/07, 24.7,  6.0, 30,1010.7,   0.0,180/09, 17.2, 12.6, 74,1016.1,   0.0,170/03, 13.8, 10.4, 80,1018.2,   0.0,180/01, 14.9, 11.1, 78,1018.8,   0.0,000/00, 15.5, 10.5, 72,1022.0,   0.0
YSHL  , 0, 20, 2006, 09, 24,    0.0, YES,   0.20, 14.45, 12.15, 21.30, 280/21, 30.6,  6.5, 22,1001.2,   0.0,270/22, 21.1,  4.6, 34,1007.1,   0.0,260/18, 19.0,  3.2, 35,1009.1,   0.0,250/09, 15.0,  2.5, 43,1013.8,   0.0,210/05, 11.9,  1.9, 50,1017.4,   0.0,270/12,  9.8,  2.7, 61,1019.4,   0.0
YSHL  , 0, 1, 2007, 08, 17,    0.0, YES,   2.90, 15.45, 16.15, 00.30, 270/20, 17.7,  6.3, 47,1015.9,   0.0,270/13, 14.4,  6.0, 57,1018.2,   0.0,260/11, 13.1,  6.5, 64,1020.5,   0.0,290/08, 12.4,  6.0, 65,1021.5,   0.0,190/04,  7.8,  6.4, 91,1022.4,   0.0,000/00,  8.1,  7.5, 96,1024.0,   0.0
YSHL  , 0, 1, 2008, 03, 13,    0.0, YES,   6.00, 18.45, 19.15, 00.30, 050/07, 24.2, 18.9, 72,1019.1,   0.0,050/05, 22.5, 18.7, 79,1020.2,   0.0,280/03, 17.5, 16.7, 95,1021.9,   0.0,270/04, 15.8, 15.3, 97,1022.0,   0.0,000/00, 13.9, 13.4, 97,1021.1,   0.0,000/00, 12.9, 12.4, 97,1021.6,   0.0
YSHL  , 0, 1, 2008, 05, 09,    0.0, YES,   0.80, 18.15, 18.45, 00.30, 110/06, 18.3, 12.7, 70,1020.3,   0.0,080/03, 16.5, 12.7, 78,1021.2,   0.0,280/04, 14.0, 12.2, 89,1021.8,   0.0,260/03, 12.0, 10.6, 91,1021.7,   0.0,000/00,  8.4,  7.8, 96,1020.7,   0.0,000/00,  6.9,  6.5, 97,1021.2,   0.0
YSHL  , 0, 1, 2008, 05, 14,    0.2, YES,   0.60, 19.15, 19.45, 00.30, 060/08, 19.4, 13.4, 68,1020.3,   0.0,210/03, 14.4, 12.0, 85,1021.3,   0.0,300/05, 11.6, 10.9, 95,1022.4,   0.0,270/01,  8.9,  8.3, 96,1021.8,   0.0,250/02,  8.7,  8.4, 98,1020.9,   0.0,270/05,  7.1,  6.8, 98,1020.9,   0.0
YSHL  , 0, 1, 2008, 05, 27,    0.0, YES,   2.90, 17.45, 18.15, 00.30, 050/09, 19.9, 13.6, 67,1021.3,   0.0,280/04, 13.2, 11.4, 89,1022.6,   0.0,000/00, 12.0, 11.2, 95,1023.3,   0.0,000/00, 10.4,  9.8, 96,1023.5,   0.0,000/00,  8.1,  7.8, 98,1022.9,   0.0,260/04,  7.2,  7.1, 99,1023.8,   0.0
YSHL  , 0, 2, 2008, 09, 27,    0.0, YES,   1.60, 17.45, 18.45, 01.00, 060/10, 21.5, 14.7, 65,1014.9,   0.0,070/02, 19.2, 15.5, 79,1013.9,   0.0,000/00, 13.2, 10.9, 86,1014.3,   0.0,240/03, 11.3,  9.8, 90,1012.2,   0.0,300/11, 14.4,  9.9, 74,1009.6,   0.0,010/10, 19.9,  8.6, 48,1008.9,   0.0
YSHL  , 0, 1, 2008, 10, 28,    0.0, YES,   3.00, 15.15, 15.45, 00.30, 100/09, 18.1, 14.0, 77,1020.3,   0.0,210/04, 16.8, 15.2, 90,1021.7,   0.0,160/05, 15.6, 15.0, 96,1023.5,   1.0,170/05, 15.7, 15.2, 97,1023.0,   1.4,160/10, 15.0, 14.6, 97,1023.2,   2.8,180/05, 14.7, 13.4, 92,1024.7,   3.2
