avID,man,aut,year,mon,day,rain24hr,fogflag,min_vis,fg_onset,fg_finish,fg_duration,wind5,T5,Td5,RH5,QNH5,pptn5,wind8,T8,Td8,RH8,QNH8,pptn8,wind11,T11,Td11,RH11,QNH11,pptn11,wind14,T14,Td14,RH14,QNH14,pptn14,wind17,T17,Td17,RH17,QNH17,pptn17,wind20,T20,Td20,RH20,QNH20,pptn20
YSRI  , 0, 2, 2000, 01, 02,    0.0, YES,   0.30, 18.45, 19.45, 01.00, 130/11, 21.2, 14.9, 67,1018.2,   1.8,120/09, 20.3, 14.7, 70,1018.8,   1.8,140/07, 18.2, 16.0, 87,1020.2,   1.8,230/04, 16.8, 16.4, 97,1019.6,   1.8,000/00, 16.1, 16.0, 99,1018.8,   1.8,210/01, 15.6, 15.5, 99,1019.4,   1.8
YSRI  , 0, 4, 2000, 02, 02,    0.0, YES,   0.15, 17.45, 19.45, 02.00, 040/07, 30.1, 13.8, 37,1021.8,   0.0,070/11, 25.9, 16.7, 57,1022.3,   0.0,070/07, 21.4, 16.8, 75,1024.6,   0.0,020/05, 18.5, 16.8, 90,1024.0,   0.0,000/00, 15.7, 15.6, 99,1023.1,   0.0,000/00, 14.9, 14.8, 99,1024.1,   0.0
YSRI  , 0, 1, 2000, 02, 07,    0.0, YES,   0.40, 18.15, 18.45, 00.30, 090/12, 28.5, 18.0, 53,1024.5,   0.0,060/11, 26.8, 17.3, 56,1024.0,   0.0,070/04, 22.4, 18.0, 76,1025.9,   0.0,350/03, 19.6, 18.1, 91,1025.6,   0.0,000/00, 17.4, 17.3, 99,1024.8,   0.0,330/02, 16.5, 16.4, 99,1025.5,   0.0
YSRI  , 0, 4, 2000, 02, 14,    0.0, YES,   0.15, 19.15, 21.15, 02.00, 130/15, 21.1,  9.7, 48,1021.8,   0.0,130/14, 18.1, 13.4, 74,1021.9,   0.0,200/08, 16.3, 13.6, 84,1022.9,   0.0,200/04, 15.8, 13.1, 84,1021.4,   0.0,000/00, 15.9, 13.0, 83,1019.8,   0.0,000/00, 15.4, 14.8, 96,1020.4,   0.2
YSRI  , 0, 1, 2000, 02, 17,    0.0, YES,   1.40, 19.45, 20.15, 00.30, 070/10, 29.6, 13.0, 36,1018.1,   0.0,050/10, 25.7, 12.9, 45,1018.9,   0.0,060/04, 20.3, 15.7, 75,1021.3,   0.0,050/03, 16.3, 14.9, 91,1021.3,   0.0,000/00, 13.9, 13.4, 97,1020.8,   0.0,000/00, 13.5, 13.4, 99,1021.5,   0.0
YSRI  , 0, 1, 2000, 02, 18,    0.0, YES,   0.70, 19.15, 19.45, 00.30, 040/07, 28.9, 11.5, 34,1018.0,   0.0,060/10, 25.6, 13.8, 48,1017.9,   0.0,060/04, 19.8, 14.2, 70,1020.1,   0.0,000/00, 15.9, 13.8, 87,1019.2,   0.0,000/00, 14.0, 13.4, 96,1017.9,   0.0,000/00, 12.8, 12.7, 99,1018.5,   0.0
YSRI  , 0, 7, 2000, 02, 28,    0.0, YES,   0.40, 17.45, 21.15, 03.30, 050/05, 28.4, 16.0, 47,1019.8,   0.0,070/11, 24.6, 16.6, 61,1020.2,   0.0,160/03, 19.9, 16.6, 81,1022.4,   0.0,000/00, 17.7, 16.6, 93,1021.1,   0.0,000/00, 16.1, 16.0, 99,1020.3,   0.0,000/00, 14.8, 14.7, 99,1021.2,   0.0
YSRI  , 0, 3, 2000, 02, 29,    0.0, YES,   0.50, 14.45, 19.15, 04.30, 070/11, 26.0, 15.7, 53,1019.0,   0.0,100/10, 23.3, 17.8, 71,1020.0,   0.0,130/07, 20.5, 19.4, 93,1021.5,   0.0,190/01, 19.5, 19.4, 99,1020.4,   1.0,250/04, 18.9, 18.8, 99,1019.5,   1.0,000/00, 19.1, 19.0, 99,1020.8,   1.0
YSRI  , 0, 3, 2000, 03, 01,    0.0, YES,   0.60, 16.15, 19.45, 03.30, 100/09, 28.4, 11.5, 35,1018.6,   0.0,080/10, 24.5, 14.6, 54,1018.9,   0.0,160/03, 20.1, 15.8, 76,1021.1,   0.0,000/00, 16.5, 15.2, 92,1020.8,   0.0,000/00, 15.2, 15.1, 99,1019.5,   0.0,000/00, 13.2, 13.1, 99,1020.8,   0.0
YSRI  , 0, 4, 2000, 03, 05,    0.0, YES,   4.90, 10.45, 15.15, 04.30, 140/04, 24.5, 18.0, 67,1011.6,   0.0,360/05, 21.2, 20.9, 98,1011.9,   3.0,000/00, 21.0, 20.9, 99,1013.1,   3.0,190/06, 20.5, 20.4, 99,1012.9,   3.0,200/04, 20.3, 19.7, 96,1012.2,   3.0,210/04, 20.2, 19.4, 95,1014.5,   4.8
YSRI  , 0, 1, 2000, 03, 11,    0.0, YES,   6.00, 19.45, 20.15, 00.30, 340/04, 24.4, 19.9, 76,1013.1,   7.2,070/05, 23.1, 20.1, 83,1013.5,   7.2,000/00, 22.0, 21.2, 95,1014.7,   7.2,000/00, 22.0, 21.9, 99,1013.9,   7.2,000/00, 21.1, 21.0, 99,1012.9,   7.2,160/03, 21.3, 21.3,100,1014.5,   7.2
YSRI  , 0, 7, 2000, 03, 13,    0.0, YES,   0.25, 17.15, 20.45, 03.30, 060/05, 22.7, 19.5, 82,1016.5,   0.2,,,,,,,000/00, 21.0, 20.9, 99,1016.3,   3.4,020/01, 21.0, 21.0,100,1014.9,   3.4,050/04, 19.9, 19.9,100,1012.8,   3.4,000/00, 19.8, 19.8,100,1013.1,   3.4
YSRI  , 0, 5, 2000, 03, 14,    0.0, YES,   2.50, 13.45, 20.15, 06.30, 340/06, 31.5, 20.5, 52,1010.8,   0.0,130/11, 24.0, 19.5, 76,1014.5,   0.0,160/09, 21.3, 18.3, 83,1018.2,   0.0,220/05, 19.3, 19.2, 99,1018.6,   0.2,170/06, 18.8, 18.7, 99,1018.3,   2.0,210/06, 18.1, 18.0, 99,1019.5,   2.6
YSRI  , 0, 12, 2000, 03, 17,    0.0, YES,   0.40, 18.15, 24.15, 06.00, 060/03, 29.5, 21.7, 63,1016.5,   0.0,050/07, 26.4, 22.3, 78,1016.7,   0.0,360/01, 23.5, 22.5, 94,1017.9,   0.0,130/04, 22.4, 21.9, 97,1018.2,   0.0,000/00, 21.5, 21.3, 99,1017.0,   0.0,060/04, 22.3, 22.3,100,1017.1,   0.0
YSRI  , 0, 12, 2000, 03, 19,    0.2, YES,   0.50, 12.15, 25.15, 13.00, 190/06, 25.4, 21.1, 77,1016.5,   0.0,090/03, 22.3, 21.7, 96,1018.1,   0.6,000/00, 22.0, 21.8, 99,1017.7,   1.0,020/04, 21.4, 21.4,100,1016.0,   1.0,360/02, 21.2, 21.2,100,1014.1,   1.0,220/02, 21.1, 21.1,100,1014.5,   1.0
YSRI  , 0, 4, 2000, 03, 25,    0.0, YES,   0.10, 17.45, 19.45, 02.00, 160/04, 22.2, 13.3, 57,1019.4,   0.0,070/05, 19.9, 14.7, 72,1019.7,   0.0,190/04, 18.1, 15.4, 84,1020.9,   0.0,000/00, 16.5, 15.2, 92,1019.9,   0.0,000/00, 13.5, 13.4, 99,1018.7,   0.0,000/00, 13.2, 13.1, 99,1019.2,   0.0
YSRI  , 0, 8, 2000, 03, 26,    0.0, YES,   0.15, 16.45, 22.45, 06.00, 020/05, 25.9, 14.1, 48,1016.0,   0.0,070/08, 21.4, 15.7, 70,1016.4,   0.0,000/00, 18.3, 16.3, 88,1017.8,   0.0,000/00, 16.1, 15.8, 98,1017.1,   0.0,000/00, 15.0, 14.9, 99,1015.9,   0.0,000/00, 14.3, 14.2, 99,1016.6,   0.0
YSRI  , 0, 9, 2000, 03, 30,    0.0, YES,   0.10, 18.15, 23.15, 05.00, 030/09, 25.3, 16.5, 58,1015.4,   0.0,060/08, 22.9, 17.4, 71,1015.5,   0.0,030/04, 19.3, 16.7, 85,1016.6,   0.0,000/00, 17.2, 16.6, 96,1015.5,   0.0,000/00, 15.7, 15.6, 99,1014.3,   0.0,290/02, 14.1, 14.0, 99,1014.6,   0.0
YSRI  , 0, 1, 2000, 03, 31,    0.0, YES,   6.00, 19.45, 20.15, 00.30, 060/06, 29.6, 12.6, 35,1011.7,   0.0,020/04, 25.9, 12.4, 43,1012.3,   0.0,000/00, 19.8, 15.9, 78,1014.8,   0.0,000/00, 16.7, 14.7, 88,1014.5,   0.0,000/00, 15.0, 14.3, 96,1014.3,   0.0,000/00, 14.4, 14.3, 99,1015.8,   0.0
YSRI  , 0, 1, 2000, 04, 01,    4.0, YES,   6.00, 22.15, 22.45, 00.30, 340/01, 19.5, 18.4, 93,1017.9,   1.8,340/03, 19.4, 18.1, 92,1019.0,   1.8,000/00, 18.9, 18.6, 98,1021.5,   1.8,000/00, 18.4, 18.3, 99,1021.2,   1.8,290/02, 18.4, 18.3, 99,1020.7,   2.0,260/04, 18.2, 18.2,100,1021.6,   2.6
YSRI  , 0, 17, 2000, 04, 02,    0.8, YES,   0.10, 13.15, 21.45, 08.30, 030/03, 20.1, 18.2, 89,1020.3,   0.8,030/02, 19.0, 18.7, 98,1019.8,   0.8,040/06, 17.5, 17.4, 99,1020.4,   0.8,000/00, 15.9, 15.9,100,1019.8,   0.8,000/00, 15.2, 15.2,100,1018.2,   0.8,310/02, 15.2, 15.2,100,1018.2,   0.8
YSRI  , 0, 15, 2000, 04, 11,    0.2, YES,   0.15, 15.45, 23.15, 07.30, 110/10, 23.6, 14.0, 55,1026.0,   0.0,070/05, 19.3, 15.0, 76,1026.8,   0.0,120/02, 16.2, 14.6, 90,1028.1,   0.0,000/00, 14.6, 14.5, 99,1027.4,   0.0,000/00, 13.2, 13.0, 99,1026.3,   0.0,000/00, 12.2, 12.1, 99,1027.3,   0.0
