avID,man,aut,year,mon,day,rain24hr,fogflag,min_vis,fg_onset,fg_finish,fg_duration,wind5,T5,Td5,RH5,QNH5,pptn5,wind8,T8,Td8,RH8,QNH8,pptn8,wind11,T11,Td11,RH11,QNH11,pptn11,wind14,T14,Td14,RH14,QNH14,pptn14,wind17,T17,Td17,RH17,QNH17,pptn17,wind20,T20,Td20,RH20,QNH20,pptn20
YSSY  , 0, 4, 2000, 05, 25,    1.8, YES,   2.50, 16.15, 17.45, 01.30, 360/11, 18.3, 15.4, 83,1011.4,   0.8,360/04, 18.4, 15.3, 82,1011.2,   1.0,000/00, 16.4, 15.2, 93,1011.3,   1.6,300/06, 15.3, 14.3, 94,1010.3,   1.6,300/11, 14.1, 13.6, 97,1009.6,   1.6,320/07, 13.3, 10.4, 83,1009.5,   1.8
YSSY  , 0, 10, 2000, 06, 18,    0.6, YES,   0.50, 18.15, 24.45, 06.30, 170/09, 15.3, 12.8, 85,1028.6,   0.0,150/05, 14.4, 12.9, 91,1028.8,   0.0,070/11, 15.2, 12.7, 85,1029.2,   0.0,220/06, 13.4, 12.7, 96,1028.9,   0.4,320/06, 11.8, 11.5, 98,1027.1,   0.4,350/07, 11.0, 10.4, 96,1026.9,   0.4
YSSY  , 0, 6, 2000, 07, 06,    1.4, YES,   1.50, 20.15, 22.30, 02.15, 040/04, 17.6,  7.2, 50,1015.2,   0.0,040/05, 15.4,  9.4, 67,1015.7,   0.0,000/00, 13.0,  9.5, 79,1016.1,   1.2,290/04, 11.2, 10.0, 92,1015.1,   1.2,310/06,  9.4,  8.8, 96,1014.1,   1.4,310/05,  8.7,  7.4, 92,1014.3,   1.4
YSSY  , 0, 7, 2000, 09, 20,    0.0, YES,   0.90, 18.45, 21.45, 03.00, 100/15, 20.9, 14.6, 67,1018.6,   0.0,060/08, 19.1, 15.4, 79,1019.8,   0.0,020/03, 18.4, 16.2, 87,1020.9,   0.0,,,,,,,350/03, 15.4, 14.2, 93,1017.7,   0.0,290/06, 14.4, 14.1, 98,1018.3,   0.0
YSSY  , 0, 1, 2000, 11, 19,    0.2, YES,   5.00, 18.36, 19.06, 00.30, 140/07, 21.0, 18.3, 85,1008.4,   0.0,180/08, 20.1, 18.7, 92,1008.2,   0.0,130/11, 19.5, 19.3, 99,1009.4,   0.0,170/05, 19.3, 18.2, 93,1008.3,   0.0,200/09, 18.8, 18.1, 96,1007.3,   0.0,190/10, 19.3, 17.7, 90,1008.1,   0.4
YSSY  , 0, 3, 2001, 01, 23,    0.0, YES,   5.00, 10.45, 12.15, 01.30, 120/12, 31.3, 21.0, 54,1010.6,   0.0,120/08, 27.1, 21.6, 72,1011.3,   0.0,160/16, 23.8, 22.8, 94,1013.8,   0.0,170/13, 22.9, 21.5, 92,1013.8,   0.0,200/08, 22.5, 20.8, 90,1012.8,   0.0,270/01, 23.4, 20.7, 85,1013.0,   0.0
YSSY  , 0, 9, 2001, 02, 04,    0.0, YES,   4.00, 14.15, 23.15, 09.00, 030/13, 29.9, 21.6, 61,1012.6,   0.0,040/13, 27.4, 21.7, 71,1011.7,   0.0,070/06, 25.3, 22.0, 82,1013.5,   0.0,170/13, 23.5, 22.6, 95,1013.8,   0.0,160/07, 22.5, 22.0, 97,1012.4,   0.0,230/04, 23.5, 22.5, 94,1013.2,   0.0
YSSY  , 0, 1, 2001, 02, 09,    0.0, YES,   6.00, 20.45, 21.15, 00.30, 040/17, 29.4, 19.5, 55,1008.2,   0.0,020/17, 27.2, 18.8, 60,1007.7,   0.0,020/05, 25.3, 20.3, 74,1009.0,   0.0,120/04, 23.4, 20.8, 85,1008.9,   0.0,010/05, 23.5, 21.3, 87,1007.2,   0.0,170/10, 22.7, 21.5, 93,1009.0,   0.0
YSSY  , 0, 11, 2001, 04, 05,    0.0, YES,   0.20, 17.45, 21.45, 04.00, 160/09, 22.6, 19.0, 80,1024.5,   0.0,090/06, 21.4, 18.6, 84,1024.8,   0.0,000/00, 20.4, 18.5, 89,1026.4,   0.0,220/04, 19.1, 18.3, 95,1026.4,   0.0,330/04, 17.6, 16.8, 95,1026.2,   0.0,300/05, 16.9, 16.9,100,1026.9,   0.0
YSSY  , 0, 6, 2001, 04, 18,    0.0, YES,   0.30, 18.30, 21.15, 02.45, 050/11, 24.2, 19.1, 73,1015.7,   0.0,030/07, 23.5, 18.4, 73,1015.9,   0.0,010/10, 23.2, 19.2, 78,1016.4,   0.0,010/05, 20.8, 17.6, 82,1015.7,   0.0,310/06, 18.2, 17.1, 93,1014.4,   0.0,330/05, 17.7, 17.2, 97,1014.4,   0.0
